Address,Data Type,Modbus Address,Function Code,Nickname,Initial Value,Retentive,Address Comment
Y611,BIT,20CAh,"FC=01,05,15","",0,No,""
Y612,BIT,20CBh,"FC=01,05,15","",0,No,""
Y613,BIT,20CCh,"FC=01,05,15","",0,No,""
Y614,BIT,20CDh,"FC=01,05,15","",0,No,""
Y615,BIT,20CEh,"FC=01,05,15","",0,No,""
Y616,BIT,20CFh,"FC=01,05,15","",0,No,""
Y701,BIT,20E0h,"FC=01,05,15","",0,No,""
Y702,BIT,20E1h,"FC=01,05,15","",0,No,""
Y703,BIT,20E2h,"FC=01,05,15","",0,No,""
Y704,BIT,20E3h,"FC=01,05,15","",0,No,""
Y705,BIT,20E4h,"FC=01,05,15","",0,No,""
Y706,BIT,20E5h,"FC=01,05,15","",0,No,""
Y707,BIT,20E6h,"FC=01,05,15","",0,No,""
Y708,BIT,20E7h,"FC=01,05,15","",0,No,""
Y709,BIT,20E8h,"FC=01,05,15","",0,No,""
Y710,BIT,20E9h,"FC=01,05,15","",0,No,""
Y711,BIT,20EAh,"FC=01,05,15","",0,No,""
Y712,BIT,20EBh,"FC=01,05,15","",0,No,""
Y713,BIT,20ECh,"FC=01,05,15","",0,No,""
Y714,BIT,20EDh,"FC=01,05,15","",0,No,""
Y715,BIT,20EEh,"FC=01,05,15","",0,No,""
Y716,BIT,20EFh,"FC=01,05,15","",0,No,""
Y801,BIT,2100h,"FC=01,05,15","",0,No,""
Y802,BIT,2101h,"FC=01,05,15","",0,No,""
Y803,BIT,2102h,"FC=01,05,15","",0,No,""
Y804,BIT,2103h,"FC=01,05,15","",0,No,""
Y805,BIT,2104h,"FC=01,05,15","",0,No,""
Y806,BIT,2105h,"FC=01,05,15","",0,No,""
Y807,BIT,2106h,"FC=01,05,15","",0,No,""
Y808,BIT,2107h,"FC=01,05,15","",0,No,""
Y809,BIT,2108h,"FC=01,05,15","",0,No,""
Y810,BIT,2109h,"FC=01,05,15","",0,No,""
Y811,BIT,210Ah,"FC=01,05,15","",0,No,""
Y812,BIT,210Bh,"FC=01,05,15","",0,No,""
Y813,BIT,210Ch,"FC=01,05,15","",0,No,""
Y814,BIT,210Dh,"FC=01,05,15","",0,No,""
Y815,BIT,210Eh,"FC=01,05,15","",0,No,""
Y816,BIT,210Fh,"FC=01,05,15","",0,No,""
C1,BIT,4000h,"FC=01,05,15","",0,No,""
C2,BIT,4001h,"FC=01,05,15","",0,No,""
C3,BIT,4002h,"FC=01,05,15","",0,No,""
C4,BIT,4003h,"FC=01,05,15","",0,No,""
C5,BIT,4004h,"FC=01,05,15","",0,No,""
C6,BIT,4005h,"FC=01,05,15","",0,No,""
C7,BIT,4006h,"FC=01,05,15","",0,No,""
C8,BIT,4007h,"FC=01,05,15","",0,No,""
C9,BIT,4008h,"FC=01,05,15","",0,No,""
C10,BIT,4009h,"FC=01,05,15","",0,No,""
C11,BIT,400Ah,"FC=01,05,15","",0,No,""
C12,BIT,400Bh,"FC=01,05,15","",0,No,""
C13,BIT,400Ch,"FC=01,05,15","",0,No,""
C14,BIT,400Dh,"FC=01,05,15","",0,No,""
C15,BIT,400Eh,"FC=01,05,15","",0,No,""
C16,BIT,400Fh,"FC=01,05,15","",0,No,""
C17,BIT,4010h,"FC=01,05,15","",0,No,""
C18,BIT,4011h,"FC=01,05,15","",0,No,""
C19,BIT,4012h,"FC=01,05,15","",0,No,""
C20,BIT,4013h,"FC=01,05,15","",0,No,""
C21,BIT,4014h,"FC=01,05,15","",0,No,""
C22,BIT,4015h,"FC=01,05,15","",0,No,""
C23,BIT,4016h,"FC=01,05,15","",0,No,""
C24,BIT,4017h,"FC=01,05,15","",0,No,""
C25,BIT,4018h,"FC=01,05,15","",0,No,""
C26,BIT,4019h,"FC=01,05,15","",0,No,""
C27,BIT,401Ah,"FC=01,05,15","",0,No,""
C28,BIT,401Bh,"FC=01,05,15","",0,No,""
C29,BIT,401Ch,"FC=01,05,15","",0,No,""
C30,BIT,401Dh,"FC=01,05,15","",0,No,""
C31,BIT,401Eh,"FC=01,05,15","",0,No,""
C32,BIT,401Fh,"FC=01,05,15","",0,No,""
C33,BIT,4020h,"FC=01,05,15","",0,No,""
C34,BIT,4021h,"FC=01,05,15","",0,No,""
C35,BIT,4022h,"FC=01,05,15","",0,No,""
C36,BIT,4023h,"FC=01,05,15","",0,No,""
